keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi
alert_wrong_decision,"You have caused unnecessary suffering, officer...\n+1 Strike!","Způsobil jste zbytečné utrpení, důstojníku...\n+1 trestný bod!","Du har forårsaget unødvendig lidelse, betjent...\n+1 Strike!","Sie haben unnötiges Leid verursacht, Offizier...\n+1 Strike!","Has causado sufrimiento innecesario, oficial...\n+1 Strike!","Olet aiheuttanut tarpeetonta kärsimystä, poliisi...\n+1 Isku!","Vous avez causé des souffrances inutiles, officier...\n+1 Strike !","Szükségtelen szenvedést okozott, tiszt...\n+1 Strike!","Anda telah menyebabkan penderitaan yang tidak perlu, petugas...\n+1 Strike!","Hai causato sofferenze inutili, ufficiale...\n+1 Strike!","U heeft onnodige ellende veroorzaakt, agent...\n+1 Strike!","Du har forårsaket unødvendig lidelse, betjent...\n+1 Strike!","Spowodowałeś niepotrzebne cierpienie, funkcjonariuszu...\n+1 Strike!","Você causou sofrimento desnecessário, oficial...\n+1 Strike!","Ai cauzat suferință inutilă, ofițer...\n+1 Strike!","Spôsobili ste zbytočné utrpenie, dôstojník...\n+1 Strike!","Du har orsakat onödigt lidande, polis...\n+1 Strike!","Gereksiz acı verdiniz, memur...\n+1 Strike!","Bạn đã gây đau khổ không cần thiết, sĩ quan...\n+1 Strike!"
alert_potato_should_be_approved,\nThis potato meets all requirements and should have been approved.,\nTento brambor splňuje všechny požadavky a měl být schválen.,\nDenne kartoffel opfylder alle krav og burde være godkendt.,\nDiese Kartoffel erfüllt alle Anforderungen und hätte genehmigt werden sollen.,\nEsta patata cumple todos los requisitos y debería haber sido aprobada.,\nTämä peruna täyttää kaikki vaatimukset ja olisi pitänyt hyväksyä.,\nCette pomme de terre remplit toutes les conditions et aurait dû être approuvée.,"\nEz a krumpli minden követelménynek megfelel, és jóvá kellett volna hagyni.",\nKentang ini memenuhi semua persyaratan dan seharusnya disetujui.,\nQuesta patata soddisfa tutti i requisiti ed avrebbe dovuto essere approvata.,\nDeze aardappel voldoet aan alle eisen en had goedgekeurd moeten worden.,\nDenne poteten oppfyller alle krav og burde ha blitt godkjent.,\nTen ziemniak spełnia wszystkie wymagania i powinien zostać zatwierdzony.,\nEsta batata atende a todos os requisitos e deveria ter sido aprovada.,\nAcest cartof îndeplinește toate cerințele și ar fi trebuit aprobat.,\nTento zemiak spĺňa všetky požiadavky a mal by byť schválený.,\nDenna potatis uppfyller alla krav och borde ha godkänts.,\nBu patates tüm gereklilikleri karşılıyor ve onaylanmalıydı.,\nQuả khoai tây này đáp ứng tất cả các yêu cầu và đáng lẽ phải được phê duyệt.
alert_strike_out,Maximum strikes exceeded! Your shift is over.,Překročen maximální počet trestných bodů! Vaše směna končí.,Maksimalt antal strikes overskredet! Din vagt er slut.,Maximale Strikes überschritten! Ihre Schicht ist vorbei.,¡Máximo de strikes excedido! Tu turno ha terminado.,Enimmäisiskut ylitetty! Vuorosi on ohi.,Nombre maximum de strikes dépassé ! Votre service est terminé.,Maximális strike-ok túllépve! A műszaknak vége.,Batas maksimum strike terlampaui! Shift Anda berakhir.,Numero massimo di strike superato! Il tuo turno è finito.,Maximaal aantal strikes overschreden! Uw dienst is voorbij.,Maksimalt antall strikes overskredet! Vakten din er over.,Maksymalna liczba uderzeń przekroczona! Twoja zmiana dobiegła końca.,Máximo de strikes excedido! Seu turno acabou.,Număr maxim de strike-uri depășit! Tura ta s-a încheiat.,Maximálny počet strikes prekročený! Vaša zmena sa skončila.,Maximalt antal strikes överskridet! Ditt pass är över.,Maksimum strike sayısı aşıldı! Vardiyeniz bitti.,Vượt quá số lần strike tối đa! Ca làm việc của bạn kết thúc.
ui_score,Score: {score},Skóre: {score},Score: {score},Punktestand: {score},Puntuación: {score},Pisteet: {score},Score : {score},Pontszám: {score},Skor: {score},Punteggio: {score},Score: {score},Poengsum: {score},Wynik: {score},Pontuação: {score},Scor: {score},Skóre: {score},Poäng: {score},Puan: {score},Điểm số: {score}
ui_quota,Quota: {current} / {target},Kvóta: {current} / {target},Kvote: {current} / {target},Quote: {current} / {target},Cuota: {current} / {target},Kiintiö: {current} / {target},Quota : {current} / {target},Kvóta: {current} / {target},Kuota: {current} / {target},Quota: {current} / {target},Quotum: {current} / {target},Kvote: {current} / {target},Limit: {current} / {target},Cota: {current} / {target},Cotă: {current} / {target},Kvóta: {current} / {target},Kvot: {current} / {target},Kota: {current} / {target},Ngạch: {current} / {target}
ui_strikes,Strikes: {current} / {max},Trestné body: {current} / {max},Strikes: {current} / {max},Strikes: {current} / {max},Strikes: {current} / {max},Iskut: {current} / {max},Strikes : {current} / {max},Strike-ok: {current} / {max},Strike: {current} / {max},Strike: {current} / {max},Strikes: {current} / {max},Strikes: {current} / {max},Strikes: {current} / {max},Strikes: {current} / {max},Strike-uri: {current} / {max},Strikes: {current} / {max},Strikes: {current} / {max},Strike'lar: {current} / {max},Strikes: {current} / {max}
ui_click_megaphone,Click megaphone to call the next potato,Klikněte na megafon pro přivolání dalšího bramboru,Klik på megafonen for at kalde den næste kartoffel,"Klicken Sie auf das Megafon, um die nächste Kartoffel zu rufen",Haz clic en el megáfono para llamar a la siguiente patata,Klikkaa megafonia kutsuaksesi seuraavan perunan,Cliquez sur le mégaphone pour appeler la prochaine pomme de terre,Kattintson a megafonra a következő krumpli behívásához,Klik corong untuk memanggil kentang berikutnya,Clicca sul megafono per chiamare la prossima patata,Klik op de megafoon om de volgende aardappel op te roepen,Klikk på megafonen for å kalle neste potet,"Kliknij megafon, aby wezwać następnego ziemniaka",Clique no megafone para chamar a próxima batata,Apasă megafonul pentru a chema următorul cartof,Kliknite na megafón pre vyvolanie ďalšieho zemiaka,Klicka på megafonen för att kalla nästa potatis,Bir sonraki patatesin çağrılması için megafona tıklayın,Nhấp vào loa để gọi khoai tây tiếp theo
ui_drag_document,Drag document to inspection table,Přetáhněte dokument na kontrolní stůl,Træk dokumentet til inspektionsbordet,Ziehen Sie das Dokument auf den Inspektionstisch,Arrastra el documento a la mesa de inspección,Vedä dokumentti tarkastuspöydälle,Faites glisser le document sur la table d'inspection,Húzza a dokumentumot az ellenőrző asztalra,Seret dokumen ke meja inspeksi,Trascina il documento sul tavolo d'ispezione,Sleep document naar de inspectietafel,Dra dokumentet til inspeksjonsbordet,Przeciągnij dokument do stolika inspekcyjnego,Arraste o documento para a mesa de inspeção,Trage documentul la masa de inspecție,Presuňte dokument na inšpekčný stôl,Dra dokumentet till inspektionsbordet,Belgeyi inceleme masasına sürükleyin,Kéo tài liệu đến bàn kiểm tra
ui_stamp_document,Select a stamp to approve or reject,Vyberte razítko pro schválení nebo odmítnutí,Vælg et stempel for at godkende eller afvise,Wählen Sie einen Stempel zum Genehmigen oder Ablehnen,Selecciona un sello para aprobar o rechazar,Valitse leima hyväksyäksesi tai hylätäksesi,Sélectionnez un tampon pour approuver ou rejeter,Válasszon bélyegzőt a jóváhagyáshoz vagy elutasításhoz,Pilih stempel untuk menyetujui atau menolak,Seleziona un timbro per approvare o respingere,Selecteer een stempel om goed te keuren of af te wijzen,Velg et stempel for å godkjenne eller avvise,"Wybierz stempel, aby zatwierdzić lub odrzucić",Selecione um carimbo para aprovar ou rejeitar,Selectează o ștampilă pentru a aproba sau respinge,Vyberte pečiatku na schválenie alebo zamietnutie,Välj en stämpel för att godkänna eller avvisa,Onaylamak veya reddetmek için bir damga seçin,Chọn con dấu để phê duyệt hoặc từ chối
ui_check_violations,Check for document violations,Zkontrolujte porušení dokumentů,Tjek for dokumentovertrædelser,Überprüfen Sie Dokumentenverstöße,Revisa las violaciones del documento,Tarkista dokumentin rikkomukset,Vérifiez les violations du document,Ellenőrizze a dokumentum szabálysértéseit,Periksa pelanggaran dokumen,Controlla le violazioni del documento,Controleer op documentovertredingen,Sjekk dokumentbrudd,Sprawdź naruszenia dokumentu,Verifique as violações do documento,Verifică încălcările documentului,Skontrolujte porušenia dokumentu,Kontrollera dokumentöverträdelser,Belge ihlallerini kontrol edin,Kiểm tra vi phạm tài liệu
Strike removed!,Strike removed!,Trestný bod odstraněn!,Strike fjernet!,Strike entfernt!,¡Strike eliminado!,Isku poistettu!,Strike retiré !,Strike eltávolítva!,Strike dihapus!,Strike rimosso!,Strike verwijderd!,Strike fjernet!,Strike usunięty!,Strike removido!,Strike eliminat!,Strike odstránený!,Strike borttagen!,Strike kaldırıldı!,Xóa Strike!
BORDER RUNNER DETECTED!\nClick to launch missile!,BORDER RUNNER DETECTED!\nClick to launch missile!,POTVRZEN UPRCHLÍK NA HRANICI!\nKlikněte pro vypuštění rakety!,GRÆNSELØBER OPDAGET!\nKlik for at affyre missil!,"GRENZLÄUFER ENTDECKT!\nKlicken Sie, um Rakete zu starten!",¡CORREDOR FRONTERIZO DETECTADO!\nHaz clic para lanzar misil!,RAJARIKOLLINEN HAVAITTU!\nKlikkaa lähettääksesi ohjuksen!,COUREUR FRONTALIER DÉTECTÉ !\nCliquez pour lancer le missile !,HATÁRMETSZŐ ÉSZLELVE!\nKattintson a rakéta indításához!,PELARI PERBATASAN TERDETEKSI!\nKlik untuk meluncurkan rudal!,CORRIDORE AL CONFINE RILEVATO!\nClicca per lanciare il missile!,GRENSOVERTREDER GEDETECTEERD!\nKlik om raket te lanceren!,GRENSELØPER OPPDAGET!\nKlikk for å avfyre missil!,"NARUSZYCIEL GRANICY WYKRYTY!\nKliknij, aby wystrzelić pocisk!",CORREDOR DE FRONTEIRA DETECTADO!\nClique para lançar míssil!,FUGARUL DE FRONTIERĂ DETECTAT!\nApasă pentru a lansa racheta!,POHRANIČNÝ BEŽEC DETEGOVANÝ!\nKliknite na odpálenie rakety!,GRÄNSlöpare UPPTÄCKT!\nKlicka för att avfyra missil!,SINIR KAÇAKÇISI TESPİT EDİLDİ!\nFüzeyi fırlatmak için tıklayın!,NGƯỜI CHẠY BIÊN GIỚI ĐƯỢC PHÁT HIỆN!\nNhấp để phóng tên lửa!
REJECTED POTATO FLEEING!\nClick to launch missile!,REJECTED POTATO FLEEING!\nClick to launch missile!,ODMÍTNUTÝ BRAMBOR NA ÚTĚKU!\nKlikněte pro vypuštění rakety!,AFVIST KARTOFFEL FLYGTER!\nKlik for at affyre missil!,"ABGELEHNTER KARTOFFEL FLIEHT!\nKlicken Sie, um Rakete zu starten!",¡PATATA RECHAZADA HUYENDO!\nHaz clic para lanzar misil!,HYLÄTTY PERUNA PAKENEE!\nKlikkaa lähettääksesi ohjuksen!,POMME DE TERRE REJETÉE EN FUITE !\nCliquez pour lancer le missile !,ELUTASÍTOTT KRUMPLI MENEKÜL!\nKattintson a rakéta indításához!,KENTANG DITOLAK MELARIKAN DIRI!\nKlik untuk meluncurkan rudal!,PATATA RESPINTA IN FUGA!\nClicca per lanciare il missile!,AFGEWEZEN AARDAPPEL VLUCHT!\nKlik om raket te lanceren!,AVVIST POTET RØMMER!\nKlikk for å avfyre missil!,"ODRZUCONY ZIEMNIAK UCIEKA!\nKliknij, aby wystrzelić pocisk!",BATATA REJEITADA FUGINDO!\nClique para lançar míssil!,CARTOF RESPINS FUGIND!\nApasă pentru a lansa racheta!,ZAMIETNUTÝ ZEMIAK UNIKÁ!\nKliknite na odpálenie rakety!,AVVISAD POTATIS FLYR!\nKlicka för att avfyra missil!,REDDEDİLEN PATATES KAÇIYOR!\nFüzeyi fırlatmak için tıklayın!,KHOAI TÂY BỊ TỪ CHỐI ĐANG CHẠY!\nNhấp để phóng tên lửa!
RUNNER ESCAPED!\nStrike added!,RUNNER ESCAPED!\nStrike added!,UPRCHLÍK UNIKL!\nPřidán trestný bod!,LØBER UNDSLUPPET!\nStrike tilføjet!,LÄUFER ENTKOMMEN!\nStrike hinzugefügt!,¡CORREDOR ESCAPADO!\nStrike añadido!,PAKOLAINEN KARANNUT!\nIsku lisätty!,COUREUR ÉCHAPPÉ !\nStrike ajouté !,FUTÁR ELMENEKÜLT!\nStrike hozzáadva!,PELARI LOLOS!\nStrike ditambahkan!,CORRIDORE FUGGITO!\nStrike aggiunto!,HARDLOPER ONTSNAPT!\nStrike toegevoegd!,LØPER UNNSLUPPET!\nStrike lagt til!,UCIEKINIER ZBIEGŁ!\nDodano Strike!,CORREDOR ESCAPOU!\nStrike adicionado!,FUGAR SCĂPAT!\nStrike adăugat!,BEŽEC UNIKOL!\nStrike pridaný!,LÖPARE RYMT!\nStrike tillagd!,KAÇAK KAÇTI!\nStrike eklendi!,NGƯỜI CHẠY TRỐN THOÁT!\nThêm Strike!
Click megaphone to call the next potato,Click megaphone to call the next potato,Klikněte na megafon pro přivolání dalšího bramboru,Klik på megafonen for at kalde den næste kartoffel,"Klicken Sie auf das Megafon, um die nächste Kartoffel zu rufen",Haz clic en el megáfono para llamar a la siguiente patata,Klikkaa megafonia kutsuaksesi seuraavan perunan,Cliquez sur le mégaphone pour appeler la prochaine pomme de terre,Kattintson a megafonra a következő krumpli behívásához,Klik corong untuk memanggil kentang berikutnya,Clicca sul megafono per chiamare la prossima patata,Klik op de megafoon om de volgende aardappel op te roepen,Klikk på megafonen for å kalle neste potet,"Kliknij megafon, aby wezwać następnego ziemniaka",Clique no megafone para chamar a próxima batata,Apasă megafonul pentru a chema următorul cartof,Kliknite na megafón pre vyvolanie ďalšieho zemiaka,Klicka på megafonen för att kalla nästa potatis,Bir sonraki patatesin çağrılması için megafona tıklayın,Nhấp vào loa để gọi khoai tây tiếp theo
Drag document to inspection table,Drag document to inspection table,Přetáhněte dokument na kontrolní stůl,Træk dokumentet til inspektionsbordet,Ziehen Sie das Dokument auf den Inspektionstisch,Arrastra el documento a la mesa de inspección,Vedä dokumentti tarkastuspöydälle,Faites glisser le document sur la table d'inspection,Húzza a dokumentumot az ellenőrző asztalra,Seret dokumen ke meja inspeksi,Trascina il documento sul tavolo d'ispezione,Sleep document naar de inspectietafel,Dra dokumentet til inspeksjonsbordet,Przeciągnij dokument do stolika inspekcyjnego,Arraste o documento para a mesa de inspeção,Trage documentul la masa de inspecție,Presuňte dokument na inšpekčný stôl,Dra dokumentet till inspektionsbordet,Belgeyi inceleme masasına sürükleyin,Kéo tài liệu đến bàn kiểm tra
Select a stamp to approve or reject,Select a stamp to approve or reject,Vyberte razítko pro schválení nebo odmítnutí,Vælg et stempel for at godkende eller afvise,Wählen Sie einen Stempel zum Genehmigen oder Ablehnen,Selecciona un sello para aprobar o rechazar,Valitse leima hyväksyäksesi tai hylätäksesi,Sélectionnez un tampon pour approuver ou rejeter,Válasszon bélyegzőt a jóváhagyáshoz vagy elutasításhoz,Pilih stempel untuk menyetujui atau menolak,Seleziona un timbro per approvare o respingere,Selecteer een stempel om goed te keuren of af te wijzen,Velg et stempel for å godkjenne eller avvise,"Wybierz stempel, aby zatwierdzić lub odrzucić",Selecione um carimbo para aprovar ou rejeitar,Selectează o ștampilă pentru a aproba sau respinge,Vyberte pečiatku na schválenie alebo zamietnutie,Välj en stämpel för att godkänna eller avvisa,Onaylamak veya reddetmek için bir damga seçin,Chọn con dấu để phê duyệt hoặc từ chối
Check for document violations,Check for document violations,Zkontrolujte porušení dokumentů,Tjek for dokumentovertrædelser,Überprüfen Sie Dokumentenverstöße,Revisa las violaciones del documento,Tarkista dokumentin rikkomukset,Vérifiez les violations du document,Ellenőrizze a dokumentum szabálysértéseit,Periksa pelanggaran dokumen,Controlla le violazioni del documento,Controleer op documentovertredingen,Sjekk dokumentbrudd,Sprawdź naruszenia dokumentu,Verifique as violações do documento,Verifică încălcările documentului,Skontrolujte porušenia dokumentu,Kontrollera dokumentöverträdelser,Belge ihlallerini kontrol edin,Kiểm tra vi phạm tài liệu
