keys,en
help_basics_intro,"[b]Welcome to Spud Customs![/b]

You are a border officer at a potato customs checkpoint. Your job is to inspect documents, approve or reject immigrants, and stop those who try to run the border."
help_basics_gate,"[b]Opening the Gate[/b]
Click the gate button or use the megaphone to call the next potato to your booth."
help_basics_documents,"[b]Inspecting Documents[/b]
Drag documents to your desk to inspect them. Check names, dates, and other details against the immigration rules for the current shift."
help_basics_stamping,"[b]Stamping Documents[/b]
Use the APPROVED (green) stamp to let immigrants through, or the DENIED (red) stamp to reject them. Stamp accuracy affects your score!"
help_basics_runners,"[b]Border Runners[/b]
Some potatoes will try to run past the checkpoint! Click to fire missiles and stop them. Perfect timing gives bonus points."
help_basics_xray,"[b]X-Ray Scanner[/b]
Starting in Shift 3, use the X-ray machine to scan potatoes for hidden contraband."
help_gameplay_quota,"[b]Meeting Quota[/b]
Each shift has a quota of potatoes you must process. Fail to meet the quota and you'll be fired!"
help_gameplay_strikes,"[b]Strikes[/b]
Making mistakes (wrong approvals/rejections, missed runners) gives you strikes. Too many strikes and it's game over!"
help_gameplay_rules,"[b]Immigration Rules[/b]
Check the bulletin board for current rules. Rules change each shift - banned regions, required documents, and special conditions."
help_gameplay_scoring,"[b]Scoring[/b]
Earn points for correct decisions, perfect stamps, and stopping runners. Bonuses are awarded for speed and accuracy!"
help_gameplay_difficulty,"[b]Difficulty Levels[/b]
Easy: More lenient timing, fewer rules. Normal: Standard experience. Expert: Strict timing, complex rules, higher scores."
help_minigames_intro,"[b]Minigames[/b]
Throughout your shifts, you'll encounter minigames that can earn bonus points. Complete them for rewards or skip without penalty."
help_minigames_document_scanner,"[b]Document Scanner[/b] (Shift 1+)
Use UV light to find hidden elements on documents. Click to mark watermarks, stamps, and symbols. Find all elements before time runs out!"
help_minigames_stamp_sorting,"[b]Stamp Sorting[/b] (Shift 2+)
Sort falling stamps into the correct bins. Green stamps go to APPROVED, red stamps go to DENIED. Sort quickly for bonus points!"
help_minigames_fingerprint_match,"[b]Fingerprint Match[/b] (Shift 3+)
Match fingerprints from the grid to the reference pattern. Click matching prints to verify identity. Careful observation required!"
help_minigames_code_breaker,"[b]Code Breaker[/b] (Shift 4+)
Crack the secret code! Guess the 4-digit combination. Green means correct position, yellow means wrong position. Limited attempts!"
help_minigames_border_chase,"[b]Border Chase[/b] (Shift 5+)
Contraband on the conveyor! Click RED items to confiscate them. Let GREEN items pass through. Fast reflexes earn more points!"
help_tab_lore,Lore
help_lore_world_intro,"[b]The World of Spud[/b]

Welcome to a land where potatoes have built their own civilization. In this world, tubers walk, talk, and have formed their own nation with laws, borders, and bureaucracy."
help_lore_nation,"[b]The Nation of Spud[/b]

Spud is a proud nation that promises prosperity for all potatoes. Protected by the Great Wall of Spud, the nation maintains strict border controls to ensure only worthy tubers may enter.

The government promotes unity and obedience, with patriotic citizens often heard proclaiming: ""Glory to Spud!"""
help_lore_your_role,"[b]Your Role[/b]

You have been selected for a crucial role in protecting the borders. As a Customs Officer, you work under the watchful eye of Supervisor Russet.

Your well-being depends on your performance. Meet your quotas, follow the rules, and remember: the nation is counting on you."
help_lore_border,"[b]The Great Wall[/b]

The mighty Great Wall of Spud safeguards the nation from outsiders. At various checkpoints along the wall, officers like yourself ensure only the worthy may enter.

Those who attempt to run the border without proper documentation face immediate consequences."
help_lore_secrets,"[b]Root Reserve[/b]

Rejected potatoes are... processed. According to protocol. The mysterious Root Reserve handles all the details.

It's best not to ask too many questions. Focus on your duties. Nothing more."
_LEVEL SELECT,
level_select_choices_header,Choices up to Day {day}
level_select_choices_header_named,Choices up to Day {day} - {name}
level_select_play_day,Play This Day
level_select_close,Close
_CONTINUE DIALOG,
continue_dialog_header,Your Save Data
continue_dialog_day,Day: {day}
continue_dialog_continue,Continue
continue_dialog_cancel,Cancel
_NEW GAME DIALOG,
new_game_confirm_button,"Yes, Start New Game"
tutorial_choice_play,Play Tutorial
tutorial_choice_skip,Skip Tutorial
tutorial_dialog_title,Tutorial
tutorial_dialog_text,"Would you like to play the tutorial?

The tutorial will walk you through the basics of being a customs officer at Spud Customs."
continue_game_title,Continue Game
level_select_story_choices,Story Choices
reset_progress_confirm,Are you sure you want to reset story progress? This cannot be undone.
reset_highscores_confirm,Are you sure you want to reset all high scores? This cannot be undone.
_LEVEL NAMES,
level_name_0,Tutorial
level_name_1,First Day on the Job
level_name_2,New Regulations
level_name_3,Increasing Pressure
level_name_4,Contraband Check
level_name_5,Midpoint Crisis
level_name_6,Increased Security
level_name_7,Under Scrutiny
level_name_8,Double Agents
level_name_9,Border Chaos
level_name_10,The Final Countdown
_SHIFT NAMES FOR STORY CHOICES,
shift_name_1,First Day on the Job
shift_name_2,Meeting Sasha & Murphy
shift_name_3,The Missing Wife
shift_name_4,Root Reserve Trucks
shift_name_5,Loyalty Screening
shift_name_6,RealityScan
shift_name_7,Resistance Meeting
shift_name_8,Sasha's Capture
shift_name_9,The Attack
shift_name_10,The Final Countdown
shift_name_unknown,Unknown
_PATH INDICATORS,
path_chaos_agent,Chaos Agent
path_loyalist,Loyalist Path
path_resistance_ally,Resistance Ally
path_questioning,Questioning
path_undetermined,Undetermined
_STORY CHOICE UI,
story_choice_path_label,Path:
story_choice_sasha_trust,Sasha Trust: {value}/10
story_choice_chaos_points,Chaos: {value} pts
story_choice_no_choices,No choices recorded yet
story_choice_day_header,Day {day} - {name}
_CHOICE DESCRIPTIONS - SHIFT 1,
choice_initial_response_eager,Showed enthusiasm for Spud
choice_initial_response_questioning,Questioned the system
choice_note_reaction_investigate,Chose to investigate the note
choice_note_reaction_destroy,Destroyed the mysterious note
choice_note_reaction_report,Reported the note to authorities
choice_kept_note_yes,Kept the mysterious note
choice_kept_note_no,Discarded the note
choice_reported_note_yes,Reported the note
_CHOICE DESCRIPTIONS - SHIFT 2,
choice_murphy_trust_open,Opened up to Murphy
choice_murphy_trust_guarded,Stayed guarded with Murphy
choice_eat_reserve_ate,Ate the reserve rations
choice_eat_reserve_refused,Refused the reserve rations
_CHOICE DESCRIPTIONS - SHIFT 3,
choice_scanner_response_loyal,Showed loyalty during scanner test
choice_scanner_response_questioning,Questioned the scanner's purpose
choice_family_response_refuse,Refused to help find the wife
choice_family_response_help,Agreed to help find the missing wife
choice_has_wife_photo_yes,Obtained photo of the missing wife
choice_reveal_reaction_shocked,Was shocked by the revelation
choice_reveal_reaction_cautious,Reacted cautiously to the revelation
_CHOICE DESCRIPTIONS - SHIFT 4,
choice_cafeteria_response_serious,Took cafeteria rumors seriously
choice_cafeteria_response_avoid,Avoided cafeteria discussions
choice_murphy_alliance_ally,Allied with Murphy
choice_murphy_alliance_cautious,Stayed cautious with Murphy
choice_murphy_alliance_skeptical,Remained skeptical of Murphy
choice_sasha_trust_level_committed,Fully committed to trusting Sasha
choice_sasha_trust_level_cautious,Remained cautious about Sasha
_CHOICE DESCRIPTIONS - SHIFT 5,
choice_sasha_investigation_committed,Committed to Sasha's investigation
choice_sasha_investigation_hesitant,Hesitant about the investigation
choice_loyalty_response_patriotic,Gave patriotic responses
choice_loyalty_response_idealistic,Expressed idealistic views
choice_hide_choice_desk,Hid behind the desk
choice_hide_choice_window,Hid by the window
choice_evidence_choice_hand_over,Handed over the evidence
choice_evidence_choice_keep,Kept the evidence hidden
choice_evidence_choice_lie,Lied about the evidence
choice_evidence_choice_chaos,Used evidence to cause chaos
choice_viktor_wife_discovery_yes,Discovered Viktor's wife on manifest
_CHOICE DESCRIPTIONS - SHIFT 6,
choice_fellow_officer_response_cautious,Was cautious with fellow officer
choice_fellow_officer_response_sympathetic,Showed sympathy to fellow officer
choice_fellow_officer_response_loyal,Remained loyal around fellow officer
choice_interrogation_response_lie,Lied during interrogation
choice_interrogation_response_legal,Gave legal responses
choice_viktor_conversation_tell_truth,Told Viktor the truth
choice_viktor_conversation_lie_protect,Lied to protect Viktor
choice_viktor_conversation_curious,Was curious about Viktor
choice_scanner_choice_help,Helped sabotage the scanner
choice_scanner_choice_scan,Operated scanner normally
choice_scanner_choice_viktor,Chose Viktor for scanner
choice_helped_operative_yes,Helped the resistance operative
choice_helped_operative_no,Refused to help the operative
choice_viktor_allied_yes,Formed alliance with Viktor
choice_betrayed_resistance_yes,Betrayed the resistance
choice_sasha_plan_response_committed,Committed to Sasha's plan
choice_sasha_plan_response_nervous,Was nervous about the plan
choice_malfunction_excuse_technical,Blamed technical malfunction
choice_malfunction_excuse_innocent,Played innocent
_CHOICE DESCRIPTIONS - SHIFT 7,
choice_resistance_mission_committed,Committed to resistance mission
choice_resistance_mission_hesitant,Hesitant about the mission
choice_resistance_mission_cautious,Approached mission cautiously
choice_final_decision_help,Decided to help the resistance
choice_final_decision_passive,Remained passive
choice_final_decision_undecided,Stayed undecided
choice_yellow_badge_response_help,Helped yellow badge holders
choice_yellow_badge_response_betray,Betrayed yellow badge holders
choice_follow_trucks_volunteer,Volunteered to follow trucks
choice_follow_trucks_hesitant,Hesitant to follow trucks
choice_found_facility_yes,Found the Root Reserve facility
_CHOICE DESCRIPTIONS - SHIFT 8,
choice_sasha_response_cautious,Was cautious about Sasha's situation
choice_sasha_response_concerned,Showed concern for Sasha
choice_interrogation_choice_deny,Denied knowledge under interrogation
choice_interrogation_choice_betray,Betrayed others under interrogation
choice_sasha_arrest_reaction_intervene,Intervened in Sasha's arrest
choice_sasha_arrest_reaction_hide,Hid during Sasha's arrest
choice_sasha_arrest_reaction_promise,Made a promise to Sasha
choice_player_wanted_yes,Became wanted by authorities
choice_player_captured_yes,Was captured by authorities
choice_has_keycard_yes,Obtained security keycard
choice_murphy_final_alliance_committed,Fully committed to Murphy's alliance
choice_murphy_final_alliance_hesitant,Hesitant about final alliance
_CHOICE DESCRIPTIONS - SHIFT 9,
choice_critical_choice_help,Helped during the critical moment
choice_critical_choice_betray,Betrayed at the critical moment
choice_stay_or_go_stay,Stayed to fight
choice_stay_or_go_go,Chose to escape
choice_sasha_rescue_reaction_angry,Reacted with anger to rescue
choice_sasha_rescue_reaction_disgusted,Was disgusted by events
choice_sasha_rescue_reaction_relieved,Felt relieved after rescue
_CHOICE DESCRIPTIONS - SHIFT 10 & ENDINGS,
choice_fellow_officer_response_2_cautious,Remained cautious with colleagues
choice_fellow_officer_response_2_sympathetic,Showed sympathy to colleagues
choice_final_mission_response_determined,Determined to complete final mission
choice_final_mission_response_cautious,Cautious about final mission
choice_resistance_trust_diplomatic,Took diplomatic approach with resistance
choice_resistance_trust_committed,Fully committed to the resistance
choice_ending_choice_diplomatic,Chose diplomatic ending
choice_ending_choice_justice,Chose justice ending
choice_ending_choice_vengeance,Chose vengeance ending
choice_ending_choice_dismantle,Chose to dismantle the system
choice_accept_medal_accept,Accepted the medal with pride
choice_accept_medal_reluctant,Reluctantly accepted the medal
choice_eat_final_eat,Ate the final offering
choice_eat_final_refuse,Refused the final offering
choice_final_loyalist_choice_report,Reported dissenters
choice_final_loyalist_choice_ignore,Ignored the dissenters
choice_final_loyalist_choice_hope,Held onto hope for change
_QTE RESULTS,
choice_qte_rescue_result_pass,Succeeded in rescue attempt
choice_qte_rescue_result_fail,Failed rescue attempt
choice_qte_confrontation_result_pass,Won the confrontation
choice_qte_confrontation_result_fail,Lost the confrontation
choice_qte_escape_result_pass,Escaped successfully
choice_qte_escape_result_fail,Failed to escape
choice_qte_infiltration_result_pass,Infiltration successful
choice_qte_infiltration_result_fail,Infiltration failed
choice_qte_scanner_result_pass,Scanner sabotage successful
choice_qte_scanner_result_fail,Scanner sabotage failed
choice_qte_surveillance_result_pass,Avoided surveillance
choice_qte_surveillance_result_fail,Caught by surveillance
choice_qte_suppression_result_pass,Resisted suppression
choice_qte_suppression_result_fail,Succumbed to suppression
